client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
30a4fda5bbed3b7d98c32619f008327009e19f6e002f0f1cc5a89fdac1b25113be4564b3987e8172a2c4ef7de6bfb9417ee4f66f372a5ee09b23047b69f36ce5	common_voice_es_21993643.mp3	sí	5	0				es	Singleword Benchmark
30a4fda5bbed3b7d98c32619f008327009e19f6e002f0f1cc5a89fdac1b25113be4564b3987e8172a2c4ef7de6bfb9417ee4f66f372a5ee09b23047b69f36ce5	common_voice_es_21993644.mp3	cero	2	0				es	Singleword Benchmark
30a4fda5bbed3b7d98c32619f008327009e19f6e002f0f1cc5a89fdac1b25113be4564b3987e8172a2c4ef7de6bfb9417ee4f66f372a5ee09b23047b69f36ce5	common_voice_es_21993645.mp3	cuatro	2	0				es	Singleword Benchmark
30a4fda5bbed3b7d98c32619f008327009e19f6e002f0f1cc5a89fdac1b25113be4564b3987e8172a2c4ef7de6bfb9417ee4f66f372a5ee09b23047b69f36ce5	common_voice_es_21993646.mp3	uno	8	1				es	Singleword Benchmark
30a4fda5bbed3b7d98c32619f008327009e19f6e002f0f1cc5a89fdac1b25113be4564b3987e8172a2c4ef7de6bfb9417ee4f66f372a5ee09b23047b69f36ce5	common_voice_es_21993667.mp3	nueve	3	2				es	Singleword Benchmark
30a4fda5bbed3b7d98c32619f008327009e19f6e002f0f1cc5a89fdac1b25113be4564b3987e8172a2c4ef7de6bfb9417ee4f66f372a5ee09b23047b69f36ce5	common_voice_es_21993668.mp3	no	8	3				es	Singleword Benchmark
30a4fda5bbed3b7d98c32619f008327009e19f6e002f0f1cc5a89fdac1b25113be4564b3987e8172a2c4ef7de6bfb9417ee4f66f372a5ee09b23047b69f36ce5	common_voice_es_21993671.mp3	seis	5	1				es	Singleword Benchmark
30a4fda5bbed3b7d98c32619f008327009e19f6e002f0f1cc5a89fdac1b25113be4564b3987e8172a2c4ef7de6bfb9417ee4f66f372a5ee09b23047b69f36ce5	common_voice_es_21993672.mp3	Firefox	4	1				es	Singleword Benchmark
30a4fda5bbed3b7d98c32619f008327009e19f6e002f0f1cc5a89fdac1b25113be4564b3987e8172a2c4ef7de6bfb9417ee4f66f372a5ee09b23047b69f36ce5	common_voice_es_21993674.mp3	siete	2	0				es	Singleword Benchmark
30a4fda5bbed3b7d98c32619f008327009e19f6e002f0f1cc5a89fdac1b25113be4564b3987e8172a2c4ef7de6bfb9417ee4f66f372a5ee09b23047b69f36ce5	common_voice_es_21993709.mp3	Hey	3	0				es	Singleword Benchmark
30f50a5813e677dedc81751248a7315aafd3223df898af7047387db050c7b823b62256bb8bc6dcdacb7f4c24a49363e125c22e9091b4fb8bf21e5534a789f76a	common_voice_es_21954103.mp3	uno	3	2				es	Singleword Benchmark
30f50a5813e677dedc81751248a7315aafd3223df898af7047387db050c7b823b62256bb8bc6dcdacb7f4c24a49363e125c22e9091b4fb8bf21e5534a789f76a	common_voice_es_21954107.mp3	cero	5	2				es	Singleword Benchmark
30f50a5813e677dedc81751248a7315aafd3223df898af7047387db050c7b823b62256bb8bc6dcdacb7f4c24a49363e125c22e9091b4fb8bf21e5534a789f76a	common_voice_es_21954108.mp3	no	3	1				es	Singleword Benchmark
